incident_id,date_reported,customer_name,environment,service_module,incident_summary,incident_category,impact_scope,severity_level,detected_by,root_cause,resolution_steps,time_to_detect_ttd,time_to_resolve_ttr,preventive_actions,automation_suggestion,incident_tags,logs_or_errors,owner_resolver,linked_incidents,postmortem_link,gpt_insight_label
INC-2025-0045,14-09-2025 10:42,ABC Financials,Production,payment-gateway-service,Payment service outage due to SSL certificate expiration.,Deployment,All online transactions failed for EU customers.,P1,Prometheus Alert,Expired SSL certificate not renewed in CI/CD pipeline.,"Renewed certificate, redeployed service, updated pipeline to check expiry automatically.",8m,45m,Add SSL expiry validation job before deployment.,Create CertExpiryAgent GPT workflow for pre-deployment checks.,"ssl,certificate,deployment,cicd",SSLHandshakeException at line 154,DevOps Team A,"INC-2025-012, INC-2025-037",https://companywiki/rca-ssl-expiry,Pattern: Certificate Automation Needed
INC-2025-1014,14-10-2025 23:15,BOB,Production,Webapi,"Application is not able to login. During verification, we found that the GetKey API is returning a 500.3 error. 
Further investigation revealed that on one of the application servers (IP: .36), the WebAPI is not working.",Deployment,ALL Users,P1,Client,duplicate entry in the webapi server,removed the duplicatge entry and applicaition found working fine,45m,15m,Need to make sure no duplicate entry,,webapi config,,PS team,,,
INC-2025-1014,14-10-2025 15:30,BOB,Production,Network issue,Application is down and user are unable to login,Network issue,ALL Users,P1,PS Team and Client,connectivety between web and app server got failed using the telnet and found port got disable,Client  IT Team has moved the vm to another physical server  to make the applcaition up,45m,4 Hr,"have requested the client make sure no changes are happening at network, server, etc",,Client,Telnet failed,,,,
INC-2025-1010,,BOB,Production,Rabbitmq Queue movement,Rabbitmq Queue is not moving/processing,Deployment,ALL Users,P1,PS Team,Endpoints mappings were wrong when compared with webapi and endpoints,changed the mapping in all endpoints to make sure queue is processed,15m,25m,added this points to the post deployment checklist,automation needed,config files,queue got struck,PS team,,,
,,BOB,Production,W3wp service,w3wp service went down,Infrastructure issue,ALL Users,P1,PS Team and Client,due to memory peaking  and iis worker process for webapi,"started the service of the w3wp, restarted iis",5m,1m,,,,,,,,
,,BOB,Production,rabbitmq service,rabbitmq service is down due to memory peaking,Infrastructure issue,ALL Users,P1,PS Team and Client,"due to memory peaking, iis worker process for webapi , account endpoint consumeing high memory","started the service of the w3wp, restart iis, endpoint and all other required services",15m,25m,,,,,,,,
,,Equitas,Production,website,page is not loading,Network issue,ALL Users,P1,Endusers,due to network issues,auto resolved,5m,20m,,,,,,,,
,,Equitas,Production,MSMQ,queue building up,Application,queue processing will be slow due to high trafic,P1,PS Team and Client,MAX Corn is mentioned as 1 in feedback and other endpoints,"max corn has been changed to 3, which has resulted in queue processing quickly",15m,25m,Need to check all the confuguration before and after deployment,Yes,config files,queue got struck,PS team,,,
,,Equitas,Production,MSMQ,queue building up in collection batch endpoint,Application,queue processing will be slow due to high trafic,P1,PS Team and Client,since its calling thrid party api which responding slow has resulted slow processing of queues,removed the thridparty api to another endpoint  which is used only for the call or send data using the this api,8hr,48hrs,need to make sure all the thrid party endpoints should be called using the seprate endpoint,No,"Code,deployment",,,,,
,,DBS,Production,MSMQ,queues are not moving,Service,ALL Users,P1,PS Team and Client,quota got full for MSMQ,need to increase the quota for msmq,30m,72hrs,need to check the quota frequently and clear the dead letter queues,no,,,,,,
